번호,하위분류,제목,문의내용,답변부서,답변내용
29,"교량 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",난간 및 연석의 강재의 상태평가,"안녕하세요 난간 및 연석의 상태평가 관련 문의사항입니다.난간 및 연석의 강재에 대한 상태평가 기준 중강재에 대한 상태평가 기준사항이현재 지침에는 기준b : 도장불량 10%미만, 기준c : 부식으로 인한 단면손상10% 미만으로 명기되어 있습니다.그러나 현장에서 확인된 난간의 손상은 경미한 수준의 점 부식으로 국부적 표면산화에 불과하며, 단면손상이 확인되지 않고 구조성능에 영향을 주지 않는 손상으로 판단됩니다. 따라서 기술자적 판단으로 도장불량의 범주로 보아 C등급 적용은 다소 과대 평가되는 사항으로 판단됨에 따라 문의 드립니다.",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 ""난간 및 연석 강재 상태평가”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  가. 난간 및 연석의 도장 불량 상태평가 기준에는 발생의 수준을 고려하지 않고 있습니다. 따라서, 도장 불량이 10% 이상 발생한 경우에는 c등급으로 평가하여 주시기 바랍니다.   나. 위 손상을 b등급으로 상향하고자 하는 경우에는 b등급에 준하는 손상으로 갈음할 수 있는 공학적인 객관적 근거를 보고서에 상태평가 결과와 함께 제시하여 주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우에는 우리 국토안전관리원 시설성능관리실(업무담당 박준석 ☏ 055-771-8495)으로 문의하여 주시면 친절히 답변 드리겠습니다.6. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내드립니다.감사합니다."
44,"교량 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",받침 상태평가시 받침 몰탈에 관한 질문,받침 상태평가시 받침 콘크리트에 대한 평가만 있는데 받침 몰탈은 제외인가요? 아니면 받침콘크리트와 같이 평가하면 되나요?,시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 ""받침 몰탈의 상태평가”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  세부지침의 받침 상태평가 기준 중 '받침 콘크리트 등'으로 되어 있으므로, 받침의 모든 콘트리트 부재를 포함하여 평가를 실시하여 주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우에는 우리 국토안전관리원 시설성능관리실(업무담당 박준석 ☏ 055-771-8495)으로 문의하여 주시면 친절히 답변 드리겠습니다.6. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내드립니다.감사합니다."
43,"(시설물 안전) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의","테일러스인데 사면이 2종시설물에 해당할때 토사사면, 연약암반사면, 파쇄암반사면, 절리암반사면 중 어느것으로 평가해야 하나요?","테일러스인데 사면이 2종시설물에 해당할때 토사사면, 연약암반사면, 파쇄암반사면, 절리암반사면 중 어느것으로 평가해야 하나요?",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “테일러스(2종시설물)의 상태평가”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다. 가. 시설물안전법에서 2종 절토사면은 지면으로부터의 30미터 이상을 포함한 절토부로 정의하고 있습니다. 따라서, 말씀하신 테일러스는 인위적으로 땅깎기를 하여 만들어진 절토부가 아니기에 시설물안전법에 따른 2종 절토사면으로 포함시키기 힘든 시설물로 판단됩니다.   나. 다만, 해당 시설물이 2종 절토사면으로 등록되어 있는 상황이라면 세부지침 절토사면편에 따라서 평가를 하실 수 있으나, 현행 세부지침은 시설물안전법에서 정의하는 절토사면을 기준으로 작성되어 있기에 질의주신 테일러스를 토층심도율, 블록크기비 등에 따라 분류하여 평가하기에는 적절하지 못하다고 판단됩니다.   다. 세부지침 공통편 5.1.2 상태평가항목에 따르면 시설물의 상태평가 시 점검사항은 구조물의 특성에 따라 다를 수 있으므로 수정, 보완하여 사용하게 되어있으며, 5.1.3에 따르면 상태평가기준 및 방법은 시설물의 특성 및 제반 여건 등을 고려하여 적절히 응용할 수 있다고 명시되어 있습니다. 따라서, 관리주체와 협의 후 책임기술자 판단에 따라 세부지침의 상태평가 항목 및 방법 등을 적절하게 응용하여 평가가 필요할 것으로 보입니다.  4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 김민철 ☏ 055-771-8344)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다. "
74,"건축물의 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",강관기둥(교통정보용 CCTV) 점검 관련 문의,"안녕하세요. 귀 원의 노고의 감사드립니다.금회 교통정보용 CCTV가 기울어져 점검을 실시하게 되었습니다.(첨부파일 사진 참고)하지만 강관기둥 시설물(CCTV, 가로등 등)에 대하여 별도의 지침 및 기준 등이 없어 수행에 어려움을 겪고 있습니다.그래서 건축물의 기울기(부동침하)에 대한 상태평가기준에 의거하여 조사 및 평가를 실시하려고 합니다. 제가 궁금한 점은1. 강관기둥 시설물에 대한 별도의 기준, 지침 등이 있을까요?2. 현재 수행하는 점검에 건축물의 기울기(부동침하)에 대한 상태평가기준만 적용하여수행해도 괜찮을까요?3. 찾다보니 건축물의 기울기(부동침하)에 대한 판정기준 이전자료(첨부파일 참고)를 발견했는데 평가기준 안전조치에 대한 내용이 있어서 적용하려고 하는데 가능할까요?",건축안전관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “도로안전시설 설치 및 관리”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 국토안전관리원은 ?시설물의 안전 및 유지관리에 관한 특별법?( 이하 시설물안전법)에서 정하고 있는 시설물에 대한 점검·진단을 수행하고 있습니다.   나. 질의하신 교통정보용 CCTV가 설치된 강관기둥 형태 시설물의 경우 도로안전시설 설치 및 관리 대상범위에 포함될 것으로 사료됩니다.   다. 이에, 시설물안전법 및 세부지침에서 정하고 있는 건축물의 기울기에 대한 상태평가 기준 적용은 부적절한 것으로 판단됩니다. 또한, 건축물의 경우 기초, 기둥, 보 등 구조체의 집합체로 단일 강관기둥으로 이루어진 구조물과 구조형식에서부터 차이가 있어 시설물의 안전 및유지관리 실시에 관한 세부지침의 적용은 부적절한 것으로 사료됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건축안전관리실(업무담당 김민수 ☏ 055-771-4832)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다. "
168,안전관리계획서 작성 관련 문의,잔여 안전관리비 항목간 교차 사용 가능 여부 질의,"안전관리비 사용에 대해 질의하고자 합니다. 건설기술 진흥법의 안전관리비는 건설기술 진흥법 시행규칙 제60조(안전관리비)에 따라 사용항목이 정해져 있습니다. 당 현장에서 해당항목에 따라 안전관리비를 계상 후 사용중이나, 특정항목에 있어계상된 금액 보다 과하게 집행된 내역이 있습니다. 예를 들어 '안전관리계획의 작성 및 검토 비용 또는 소규모안전관리계획의 작성' 비용이  1,000만원 계상되어 있지만 실제 투입된 비용이 3,000만원입니다. 이때, 건설기술 진흥법 시행규칙 제60조(안전관리비)의 사용 항목에 따라 계상된 다른 항목에서 실사용이 없을 것이라고 판단되는 항목의 금액을 교차(전용)사용해도 되는지 질의 드립니다.* 전용사용 전 CM검토, 발주처 실정보고 승인 후 사용 * 실정보고 : 계상된 안전관리비 총액 내에 불용항목 금액의 항목간 전용사용 승인",건설안전관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리비의 전용 가능 여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 건설기술 진흥법 시행규칙 제60조제1항에 따라 안전관리비는 각 호의 비용이 포함되어야 합니다.   나. 또한 건설기술 진흥법 시행규칙 제60조제4항을 참고하시면 건설사업자 또는 주택건설등록업자는 안전관리비를 해당 목적에만 사용해야 하며, 발주자 또는 건설사업관리용역사업자가 확인한 안전관리 활동실적에 따라 정산 해야함으로 안전관리비의 항목 간 금액 전용이 필요하다면, 건설사업관리기술자의 검토·확인 및 발주자의 승인이 필요함을 안내드립니다.   다. 관련사항은 건설공사 안전관리 업무수행 지침 제51~54조를 참고하여주시기 바랍니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다. "
358,"상수도, 하수도 등의 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",상수도 기본과업 관련해서 질의드립니다.,상수도 기본과업 관련해서 질의드립니다.세부지침상 상수도 점검에서 DCIP로 매설되어 있는 구간 혹은 전부는 관대지전위차 시험을 실시하지 않아도 되는 걸로 알고 있는데기본과업에 해당되니 하여야 하는건가요 ?? (질의 사유 : 전회차 점검 에서 관대지전위차 실시하였음),시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “관대지전위차 시험”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 「시설물의 안전 및 유지관리 실시 세부지침(안전점검·진단편)」11.2 현장조사_ 11.2.1 시설물의 점검사항_ 나. 시설물별 현장조사 및 재료시험의 요령_(사) 관대지전위차 측정 내용에 따라 관대지전위차는 관로의 방식시설의 적정운영 및 관로의 부식 개연성을 판단할 수 있는 중요한 인자로 강관에 한하여 조사한다고 명시되어 있습니다.   나. 따라서, 세부지침에서 명시하고 있는 관대지전위차 측정 시험이 기본과업이라 하더라도 해당 항목의 대상 시설물을 강관에 한하고 있으므로, DCIP는 실시하지 않아도 무방한 것으로 판단됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 김보향 ☏ 055-771-8361)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다.   "
627,건설공사 설계안전성 검토 관련 문의,"리모델링공사 중에 높이 5m 이상 시스템동바리, 거푸집이 있으면 설계안전성검토(건진법) 작성 대상일까요?","안녕하세요발주청 리모델링공사인데 층고가 높은 실이 있습니다.해당 실에 마감재만 철거후 리모델링을 할 예정인데해당 실에 만약 높이 5m 이상인 시스템동바리, 거푸집 공종이 들어가면리모델링공사여도  설계안전성검토 작성 대상일까요??애매해서 민원 남깁니다확인 부탁 드리겠습니다.감사합니다",건설품질관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “리모델링 시 높이 5m 이상인 거푸집 및 동바리 해당될 때 설계의 안전성 검토 대상 여부 ”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 설계의 안전성 검토는 「건설기술진흥법 시행령」제75조의2제1항, 제98조제1항, 제101조의2제1항에 따라 수행하여야 하며, 나. 작성해주신 공사 조건을 검토한 결과 「건설기술진흥법 시행령」제101조의2제1항 '높이가 5미터 이상인 거푸집 및 동바리'에 해당되는것으로 보이지만, 설계의 안전성 검토 여부는 발주청에서 판단할 사항임을 알려드립니다.   다. 또한, 「건설기술진흥법 시행령」제67조제2항1~5호에 해당될 경우 설계의 안전성 검토를 조정하여 시행할 수 있으므로 발주청에서 참고하여 판단할 사항임을 알려드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설품질관리실(업무담당 이주영 ☏ 055-771-1558)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다. "
67,시설물통합정보관리시스템(FMS) 관련 문의,방음터널 3종시설물 지정 관련 FMS 등록 절차 회신 요청,"방음터널의 3종시설물 지정 및 등록과 관련하여, 현재 안내된 행정 절차(실태조사 → 실태조사 기관 정보 입력 → 제3종시설물 지정 등록)가 맞는지 여부를 확인하여 주시기 바랍니다. 아울러 용인서울고속도로 사업시행자가 실태조사를 실시한 이후 중앙행정기관(국토교통부)에 FMS 등록 절차를 요청하는 방식이 타당한지에 대해서도 회신해 주시면 감사하겠습니다.",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “제3종시설물 지정절차 등”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. ?시설물의 안전 및 유지관리 실시 등에 관한 지침?(이하 “지침”) 제100조에 따라 지정기관(중앙행정기관의 장 또는 지방자치단체의 장)은 제3종시설물 지정을 위하여 실태조사를 실시하여 FMS에 그 결과를 입력하여야 하고, 지침 제101조에 따라 지정기관은 실태조사 결과 등을 토대로 재난발생의 위험이 있거나, 계속적 안전관리가 필요한 시설을 제3종시설물로 지정하여야 합니다.  * 지방자치단체의 장은 관내 소재하는 시설 중 중앙행정기관의 장이 소관하는 시설은 제3종시설물의 지정대상에서 제외, 중앙행정기관의 장이 지정   나. 또한, 지정기관은 소유자 또는 관리자가 소관 시설에 대하여 제3종시설물로 지정하여 줄 것을 요청하는 경우, 실태조사 결과 등을 토대로 해당 시설의 안전상태 등을 종합적으로 고려하여 지정 여부를 결정할 수 있음에 따라, 해당 방음터널의 관리주체는 지정기관(소관 시설에 대한 지정기관(중앙행정기관의 장 또는 지방자치단체의 장) 확인 필요)에게 지정을 요청할 수 있습니다.  * 법령 및 지침에 따라 제3종시설물 지정을 위한 실태조사 및 실태조사 결과입력, 지정 후 정보 입력 등은 지정기관이 수행4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 강호정 ☏ 055-771-8483)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.감사합니다."
12,"교량 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",상하행 분리교는 하나의 교량으로 봐야하는지 여부,시설물명이 동일한 시설물 중 예를들어 상하행 분리교나 분리되어있는 터널 관리를 할때 하나의 시설물로 등록하여 관리하여도 되는지와 그 법전근거가 있으면 첨부좀 부탁드립니다.,시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 ""분리 시설물의 등록”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  가. 질의하신 시설물이 구조적으로 연결되어 일체 거동한다면 1개의 시설물관리대장을 등록하여야 하며, 독립된 구조로 각자 거동한다면 2개의 시설물관리대장을 등록할 수 있습니다.  나. 다만, 시설물관리대장 등록은 관리주체 또는 사업주체의 판단사항으로, 해당 시설물의 설계도면이나 관련 도서 등을 통한 시설물의 구조를 검토·분석 후 시설물관리대장을 작성하여 그에 따라 관리하여 주시기 바랍니다.  다. 또한 우리 관리원은 유권해석기관이 아니므로 정확한 해석에 대해서는 국토교통부 시설안전과로 문의하여 주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우에는 우리 국토안전관리원 시설성능관리실(업무담당 박준석 ☏ 055-771-8495)으로 문의하여 주시면 친절히 답변 드리겠습니다.6. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내드립니다.감사합니다."
339,"상수도, 하수도 등의 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의","벽체 철근노출에 대한 외관조사, 상태평가 문의","정수장, 하수처리장 정밀안전 점검 중 철근노출에 대한 평가 및 외관조사에 대해 문의드립니다.벽체, 슬래브 등에 대해 철근노출 발생 시 최초 콘크리트 타설 당시 피복두께 부족에 의한 노출이 아니라면 일반적으로 피복 콘크리트 박락과 함께 철근노출이 발생하게되는데, 이 경우 발생한 손상에 대해 ""철근노출""과 ""콘크리트 박락""으로 두가지 손상으로 나눠 별도로 손상물량을 산정하고 평가에 반영해야하는지, ""철근노출""만으로 평가를 진행해야하는지 문의드립니다.",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “상태평가 방법”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 귀하께서 질의하신 바는 세부지침 상 명확하게 정해진 바가 없습니다. 따라서, 철근노출만으로 평가할지 또는 철근노출 및 콘크리트 박락으로 평가할지는 책임기술자 판단 하에 실시하시면 될 것으로 사료됩니다.   나. 다만, 철근노출에 대한 보수보강 공법에 깊은단면복구가 소요되며, 콘크리트 박락 또한 철근이 노출된 경우 철근 피복두께 이상으로 단면복구가 필요하여 깊은 보수를 실시하므로, 보수보강 물량이 중복 산출될 수 있으니 이점 유의하시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 김보향 ☏ 055-771-8361)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다.   "
